reference_code,pmid,doi
55HOR/SMY,14353883,10.1016/S0021-9258(18)71020-X
55BLA/WRI,14353903,10.1016/S0021-9258(18)71041-7
55BLA/WRI2,14353904,10.1016/S0021-9258(18)71042-9
55BLA/WRI3,14353905,10.1016/S0021-9258(18)71043-0
55THO/GOM,14367287,10.1128/jb.69.3.357-362.1955
55YAN/GIL,14367339,10.1016/S0021-9258(18)98210-4
55CAR/LEL,14367373,10.1016/S0021-9258(18)70953-8
55LIE/KOR,14392174,10.1016/S0021-9258(18)66048-X
55LIE/KOR2,14392176,10.1016/S0021-9258(18)66050-8
59HOL,14402710,10.1515/bchm2.1959.317.1.193
60KAY/OSB,14404999,10.1016/S0021-9258(18)69609-7
60KAH/LOW,14408402,10.1016/S0021-9258(18)64594-6
59KIR/TUR,14409347,10.1042/bj0720716
60KUR/SUG,14412847,10.1016/S0021-9258(18)69456-6
60NIR/JAK,14427301,10.1016/S0021-9258(18)69459-1
59NOR/FRO,14427582,10.1016/S0021-9258(18)69732-7
60PRI/HOR,14434864,10.1016/S0021-9258(18)69401-3
62KRE/MEL,14459507,10.1042/bj0820096
61LED,14463407,10.1016/S0021-9258(19)76430-8
62MEN,14472566,10.1016/S0021-9258(18)81380-1
62RAV/WOL,14490617,10.1021/bi00908a012
50SLE,14794671,10.1016/S0021-9258(18)56269-4
51BLI,14830226,10.1016/0003-9861(51)90206-8
51FRU/JOH,14841149,10.1016/S0021-9258(18)56043-9
51WOO/GUN,14841188,10.1016/S0021-9258(18)56082-8
51BLA,14858331,10.1042/bj0490257
51ROW/KOR,14907738,10.1016/S0021-9258(18)50905-4
52BAU/GEM,14915545,10.1016/s0003-9861(52)80055-4
52NAR/WOO,14924668,10.1016/s0003-9861(52)80026-8
52DOB/STU,14938362,10.1016/S0021-9258(19)50882-1
52DOB/FRU,14938363,10.1016/S0021-9258(19)50883-3
52OHL/SHA,14944266,10.1016/0003-9861(52)90426-8
50OES/MEY,15419792,
50FRI,15428423,10.1016/S0021-9258(19)50973-5
50RAC,15443900,10.1016/S0021-9258(19)51151-6
81GON/CHE,16345717,10.1128/aem.41.2.430-436.1981
93WER/TWE,16349034,10.1128/aem.59.9.2823-2829.1993
41UTT/WER,16560478,10.1128/jb.42.5.665-676.1941
62AKA/CAM,16561978,10.1128/jb.84.6.1194-1201.1962
65LEE/DOB,16562063,10.1128/jb.90.3.653-660.1965
56BEN/HEM,16589970,10.1073/pnas.42.12.896
60JON/LIP,16590733,10.1073/pnas.46.9.1194 
55VAR/WEB,16654798,10.1104/pp.30.5.393
69FAN/FEI,16657106,10.1104/pp.44.4.599
81HIR,16661650,10.1104/pp.67.2.221
83WED/BLA,16663114,10.1104/pp.72.4.1021
85BAR,16664543,10.1104/pp.79.4.1127
66CAR/HUL,16742459,10.1042/bj1010781
26QUA/WOO,16743691,10.1042/bj0200545
29WOO,16744231,10.1042/bj0230472
39COH,16747057,10.1042/bj0331478
40KRE/SMY,16747248,10.1042/bj0341041
40HER/GOR,16747255,10.1042/bj0341108
65MOR/JAM,16749122,10.1042/bj0970037
66GIB/MOR,16749179,10.1042/bj0990021p
85TEW/STE,17007786,10.1016/0301-4622(85)80041-7
86GOL/GAJ,17007794,10.1016/0301-4622(86)85054-2
86TEW/GOL,17007802,10.1016/0301-4622(86)85034-7
48KOR,18098602,10.1016/S0021-9258(18)57167-2
49MEY/GRE,18116987,10.1016/S0021-9258(18)56882-4
49MEY/OES,18134595,10.1016/S0021-9258(18)56800-9
49BAR,18135786,10.1016/S0021-9258(18)56670-9
49HES,18135821,10.1016/S0021-9258(18)56708-9
83HAA/KAR,18551488,10.1002/bit.260250715
84ADA/UED,18551697,10.1002/bit.260260203
86OLI/TOI,18555380,10.1002/bit.260280508
93JAN/PAD,18613144,10.1002/bit.260420806
48SCO/POW,18909182,10.1021/ja01183a070
48OCH,18914071,10.1016/S0021-9258(18)57383-X
45GRE/LEL,21006939,10.1016/S0021-9258(17)41491-8
97PES/PRI,,10.1002/(SICI)1097-0290(19971005)56:1<9::AID-BIT2>3.0.CO;2-O
80BEY/ROE,,10.1002/bit.260220313
92BLA/GUI,,10.1002/bit.260400913
38SCH/HEL,,10.1002/cber.19380710717
64MIL/AVI,,10.1002/ijch.196400064
89ELD/DEG,,10.1002/mrm.1910110111
74SCA/SHI,,10.1002/star.19740261202
85MAK/KIE,,10.1002/star.19850370706
93LAR/TEW,,10.1006/jcht.1993.1009
93TEW/KIS,,10.1006/jcht.1993.1028
96TEW/SCH,,10.1006/jcht.1996.0016
96TEW/GOL,,10.1006/jcht.1996.0099
98TEW/KIS,,10.1006/jcht.1998.0342
98KIS/TEW2,,10.1006/jcht.1998.0404
99KIS/HOL,,10.1006/jcht.1998.0444
99KIS/TEW,,10.1006/jcht.1999.0496
91WOH/DIE,,10.1007/BF00243458
95KAM/JUR,,10.1007/BF00301478
67BAR,,10.1007/BF00406311
84TEW/GOL,,10.1007/BF00647222
86MEI/GAD,,10.1007/BF00694264
94TEW/GOL,,10.1007/BF00973544
97DEJ/ROC,,10.1007/BF01007697
79FLE/TAT,,10.1007/BF01732029
82SAL/GIA,,10.1007/BF01959737
89SAN/SIN,,10.1007/BF02703521
70TSA/HOL,,10.1016/0003-9861(70)90347-4
83CRA/BOS,,10.1016/0003-9861(83)90213-8
68BOM/PRA,,10.1016/0005-2728(68)90105-9
70GEO/WIT,,10.1016/0005-2728(70)90126-X
72ROS/SLA,,10.1016/0005-2728(72)90116-8
67WIL/HIR,,10.1016/0005-2744(67)90139-8
67TRI/VOG,,10.1016/0005-2744(67)90197-0
67TAK/HIZ,,10.1016/0005-2744(67)90241-0
68BUR/WAL,,10.1016/0005-2744(68)90028-4
68SAL/NOR,,10.1016/0005-2744(68)90116-2
70NAK/FUJ,,10.1016/0005-2744(70)90054-9
72KOR/HUR,,10.1016/0005-2744(72)90965-5
73RAD/HOC,,10.1016/0005-2744(73)90065-X
73VID/UDE,,10.1016/0005-2744(73)90337-9
75MUR/TSU,,10.1016/0005-2744(75)90040-6
75COH/LYN,,10.1016/0005-2744(75)90324-1
76SCH/KRI,,10.1016/0005-2744(76)90051-6
78INF/KIN,,10.1016/0005-2744(78)90135-3
66TOO/WAK,,10.1016/0005-2760(66)90001-4
78MCG/BRO,,10.1016/0005-2760(78)90010-3
59BON/PON,,10.1016/0006-291X(59)90066-X
65CHI/FEI,,10.1016/0006-291X(65)90155-5
69DAH/AND,,10.1016/0006-291X(69)90681-0
77ANN/WAL,,10.1016/0006-291X(77)91392-4
47BUC,,10.1016/0006-3002(47)90143-1
50COR/VEL,,10.1016/0006-3002(50)90020-5
50HES,,10.1016/0006-3002(50)90037-0
52BUR,,10.1016/0006-3002(52)90020-6
53MEY/SHA,,10.1016/0006-3002(53)90130-9
53LYN/OCH,,10.1016/0006-3002(53)90149-8
54MIT/DAV,,10.1016/0006-3002(54)90093-1
55KAT,,10.1016/0006-3002(55)90353-X
55LEH/SIC,,10.1016/0006-3002(55)90368-1
56LEL/CAR,,10.1016/0006-3002(56)90259-1
56SMI/STA,,10.1016/0006-3002(56)90493-0
57DUR/STU,,10.1016/0006-3002(57)90006-9
57STE,,10.1016/0006-3002(57)90040-9
57SAN/SEA,,10.1016/0006-3002(57)90179-8
57BUR/HOR,,10.1016/0006-3002(57)90272-X
58FRO,,10.1016/0006-3002(58)90182-3
59DEL/DEF,,10.1016/0006-3002(59)90495-0
59GOL,,10.1016/0006-3002(59)90555-4
60PIE/WIA,,10.1016/0006-3002(60)90506-0
62DUR/RAW,,10.1016/0006-3002(62)90607-8
62GOL/WAG,,10.1016/0006-3002(62)91048-X
63DAY/WIL,,10.1016/0006-3002(63)90519-5
63DOB/DEM,,10.1016/0006-3002(63)90547-X
63KUR/FUK,,10.1016/0006-3002(63)91027-8
63CHE/RAW,,10.1016/0006-3002(63)91239-3
72WUR/HES,,10.1016/0014-5793(72)80311-9
74CHE/PAT,,10.1016/0020-711X(74)90096-2
75DON/BAR,,10.1016/0040-6031(75)80018-9
76JES,,10.1016/0040-6031(76)80042-1
84REK/RUM,,10.1016/0040-6031(84)85121-7
85REK/SLO,,10.1016/0040-6031(85)85203-5
87OWU/TRE,,10.1016/0040-6031(87)88028-0
87REK/EGO,,10.1016/0040-6031(87)88272-2
93HUT/BOH,,10.1016/0040-6031(93)80327-7
93BOH/HUT,,10.1016/0040-6031(93)85092-N
95HUT/BOH,,10.1016/0040-6031(94)01957-I
95LIU/ZEN,,10.1016/0040-6031(94)02080-8
95LIA/WAN2,,10.1016/0040-6031(95)02513-8
95JUS/KOT,,10.1016/0040-6031(95)90714-9
55WOL/KAP,,10.1016/0076-6879(55)01050-1
55BUR,,10.1016/0076-6879(55)01063-X
55STA/BUR,,10.1016/0076-6879(55)01089-6
55LYN/WIE,,10.1016/0076-6879(55)01099-9
55STA,,10.1016/0076-6879(55)01103-8
63VIL/LAR,,10.1016/0076-6879(63)06186-3
63GRE,,10.1016/0076-6879(63)06194-2
66HAN/ALB,,10.1016/0076-6879(66)08042-X
66MAT/STR,,10.1016/0076-6879(66)08061-3
66DED,,10.1016/0076-6879(66)08091-1
66REI,,10.1016/0076-6879(66)09112-2
66DOM/ZEC,,10.1016/0076-6879(66)09115-8
69KLO,,10.1016/0076-6879(69)13065-7
72LEH/TAN,,10.1016/0076-6879(72)28075-2
75GRI/CAR,,10.1016/0076-6879(75)42149-8
82BAR/HEB,,10.1016/0076-6879(82)83045-0
80SVE/MAR,,10.1016/0141-0229(80)90070-8
82HSI/CHI,,10.1016/0141-0229(82)90006-0
89JOH/HED,,10.1016/0141-0229(89)90018-5
91SCH/GIF,,10.1016/0141-0229(91)90153-2
93BLI/MAR,,10.1016/0141-0229(93)90173-Y
86REK/SKY,,10.1016/0165-022X(86)90113-2
89BER/MUD,,10.1016/0165-022X(89)90073-0
82GAL/SVE,,10.1016/0167-4838(82)90242-4
86PRU/TEN,,10.1016/0167-4838(86)90245-1
86KUP/FER,,10.1016/0167-4838(86)90316-X
87TAV/LEE,,10.1016/0167-4838(87)90136-1
89LOP/COH,,10.1016/0167-4838(89)90291-4
92KER/KER,,10.1016/0167-4838(92)90131-V
94CHI/KIR,,10.1016/0167-4838(94)90006-X
86GRA/ELL,,10.1016/0167-4889(86)90050-9
82SUE/KAT,,10.1016/0304-4165(82)90178-7
79MCK/TAV,,10.1016/0304-5102(79)85019-1
90OCO/BUT,,10.1016/0304-5102(90)85274-L
80PET/AMI,,10.1016/0305-0491(80)90077-2
89RIZ/HAR,,10.1016/0922-338X(89)90081-0
63DEV/GOU,,10.1016/0926-6550(63)90451-1
64NOR,,10.1016/0926-6569(64)90103-8
64TAK/SAW,,10.1016/0926-6569(64)90263-9
65YOS/FRE,,10.1016/0926-6593(65)90009-3
66SCH,,10.1016/0926-6593(66)90039-7
66STA/DEN,,10.1016/0926-6593(66)90144-5
92LOR/TRA,,10.1016/B978-0-444-89046-7.50076-X
79GRI/TAN,,10.1016/S0003-2670(01)93222-2
77GRI/LOC,,10.1016/S0003-2670(01)93665-7
87WOL/REI,,10.1016/S0006-3495(88)82934-5
97TEW/GOL,,10.1016/S0008-6215(97)00073-6
84DEY,,10.1016/S0031-9422(00)85013-X
93MOC/STR,,10.1016/S0031-9422(00)95139-2
97LIA/WU,,10.1016/S0040-6031(97)00363-8
81PAH/JAG,,10.1016/S0044-328X(81)80048-7
55DAV/GIL,,10.1016/S0076-6879(55)02203-9
62GRI,,10.1016/S0076-6879(62)05210-6
62HOR,,10.1016/S0076-6879(62)05212-X
62DOU2,,10.1016/S0076-6879(62)05234-9
62UEH,,10.1016/S0076-6879(62)05238-6
62HAY/NIS,,10.1016/S0076-6879(62)05297-0
62SIL,,10.1016/S0076-6879(62)05314-8
62BLA,,10.1016/S0076-6879(62)05320-3
62PET,,10.1016/S0076-6879(62)05327-6
69POP,,10.1016/S0076-6879(69)15014-4
70BAL/DEN,,10.1016/0076-6879(71)17212-6
70JEN/TAY,,10.1016/0076-6879(71)17285-0
75KRI,,10.1016/S0076-6879(75)41094-1
97CON/DEL,,10.1016/S0141-0229(97)00021-5
97HAN/KLE,,10.1016/S0167-4838(96)00161-6
96OES/SCH,,10.1016/S0168-9452(96)04475-5
92DEM/ATT,,10.1016/S0232-4393(11)80392-6
94NOE/COL,,10.1016/S0885-5765(05)80059-1
65CAR/KIR,,10.1016/S0926-6593(65)80047-9
75MCG/JOR,,10.1021/ac60356a048
65BOY/BAR,,10.1021/bi00885a020
62RAV/WOL2,,10.1021/bi00912a023
97SAL/GOD,,10.1021/bp9700869
95TEW/SCH,,10.1021/j100005a034
87TEW/GAJ,,10.1021/j100288a028
71RAJ/LUM,,10.1021/j100680a006
91AND/KAT,,10.1021/ja00008a073
95KOZ/TOM,,10.1021/ja00113a002
95LEE/WAL,,10.1021/ja00133a006
80SLI/BOL,,10.1021/ja00540a025
73STU/GER,,10.1021/ja00805a036
67WU/WIT,,10.1021/ja00985a003
53STE/COO,,10.1021/ja01102a540
53BOC/ALB,,10.1021/ja01104a043
53STU,,10.1021/ja01104a527
53HOC/WAT,,10.1021/ja01109a516
61RAW/WAD,,10.1021/ja01476a003
60GEL/STU,,10.1021/ja01491a053
56FOR/GUT,,10.1021/ja01588a024
56RAB/PRI,,10.1021/ja01597a094
56HAU,,10.1021/ja01601a032
55STU,,10.1021/ja01607a001
55CAR/COH,,10.1021/ja01607a095
55STU2,,10.1021/ja01611a026
55SLE,,10.1021/ja01611a074
98TEW,,10.1021/je980021x
97KAS/TEW,,10.1021/jp972501l
98TEW/CHE,,10.1021/jp982754u
95CHE/ARM,,10.1021/tx00046a012
55DIC/WIL,,10.1038/176400a0 
59ATK/JOH,,10.1038/1841925a0 
64ROS/RAP,,10.1038/201185a0 
85ANS/PRI,,10.1042/bst0130362 
65PIN,,10.1051/jcp/1965620591
59CHI/SUG,,10.1080/03758397.1959.10857560
56HUB,,10.1085/jgp.39.6.935
77REH/JAN,,10.1093/clinchem/23.2.195
82REH/YOU,,10.1093/clinchem/28.11.2235
91KLE/RAN,,10.1093/jxb/42.4.537
97YOR/ISH,,10.1093/oxfordjournals.jbchem.a021786
89IMA,,10.1093/oxfordjournals.jbchem.a122954
60ICH/FUR,,10.1093/oxfordjournals.jbchem.a127169
63OKA,,10.1093/oxfordjournals.jbchem.a127721
64IMA/MOR,,10.1093/oxfordjournals.jbchem.a127970
65ONO/HIR,,10.1093/oxfordjournals.jbchem.a128147
65TAK/YOS,,10.1093/oxfordjournals.jbchem.a128194
65TAK/HIR,,10.1093/oxfordjournals.jbchem.a128195
71NOJ/TAN,,10.1093/oxfordjournals.jbchem.a129527
72TAK/ONO,,10.1093/oxfordjournals.jbchem.a129946
73SUZ/IWA,,10.1093/oxfordjournals.pcp.a074864
76MUR,,10.1093/oxfordjournals.pcp.a075374
83HON/HAR,,10.1093/oxfordjournals.pcp.a076514
72WOL,,10.1101/SQB.1973.037.01.076
68ERI,,10.1111/j.1365-2621.1968.tb03667.x
96PRO/GRO,,10.1111/j.1399-3054.1996.tb06681.x
68BEE/DEL,,10.1111/j.1432-1033.1968.tb00453.x
71GLO/POT,,10.1111/j.1471-4159.1971.tb11987.x
84DIT/KUB2,,10.1111/j.1574-6968.1984.tb01455.x
82DEM,,10.1111/j.1749-6632.1982.tb25773.x
68JEA/DEM,,10.1139/m68-068
81RAM/PIC,,10.1139/m81-164
84DIT/KUB,,10.1139/m84-214
65ANN/KOS,,10.1139/o65-208
73MCC/KOL,,10.1139/o73-069
86MEY/BRO,,10.1152/ajpcell.1986.250.2.C264
92KIM/KIN,,10.1152/ajpendo.1992.262.3.E344
92KIT/SAS,,10.1271/bbb.56.652
65TSU/SAT,,10.1271/bbb1961.29.1129
66NAT,,10.1271/bbb1961.30.887
67SOD/OSU,,10.1271/bbb1961.31.1097
67DAN/YOS,,10.1271/bbb1961.31.284
67TAK,,10.1271/bbb1961.31.309
67TAK2,,10.1271/bbb1961.31.435
67SAK/YOR,,10.1271/bbb1961.31.525
67SAK/YOR2,,10.1271/bbb1961.31.533
91HOR/UEH,,10.1271/bbb1961.55.1071
65ICH/HIR,,10.1271/nogeikagaku1924.39.291
46OHL,,10.1515/zna-1946-0108
86KON/POL,,10.1515/zna-1986-1203
55KIT/BEN,,10.1515/znb-1955-0704
92IBO/OBO,,10.3109/10242429209003660
51THE/BON,,10.3891/acta.chem.scand.05-1105
53BRI,,10.3891/acta.chem.scand.07-1081
55MUN,,10.3891/acta.chem.scand.09-1523
57REI,,10.3891/acta.chem.scand.11-0523
58BAC,,10.3891/acta.chem.scand.12-1279
89AIR,,10.3891/acta.chem.scand.43-0386
78OKA/GEN,,10.5458/jag1972.25.113
96HIR/MAY,,10.5650/jos1996.45.761
31BOR/SCH,,10.1016/S0021-9258(17)32602-9
40COH,,10.1016/S0021-9258(18)73021-4
42COL/SUT,,10.1016/S0021-9258(18)72525-8
43DOU,,10.1016/S0021-9258(18)44907-1
43KAL,,10.1016/S0021-9258(18)72325-9
43MEY/JUN,,10.1016/S0021-9258(18)72218-7
44LIP,,10.1016/S0021-9258(18)43172-9
45DRA/MEY,,10.1016/S0021-9258(18)51091-7
47MEY/OES,,10.1016/S0021-9258(17)34929-3
50KOR,,10.1016/S0021-9258(18)56513-3
59MCC/NAJ,,10.1016/S0021-9258(18)69716-9
59MER/TOM,,10.1016/S0021-9258(18)69780-7
60MAX/ROB,,10.1016/S0021-9258(18)69520-1
60VOL,,10.1016/S0021-9258(19)76838-0
61BEN/SCH,,10.1016/S0021-9258(18)64053-0
61BER/BER,,10.1016/S0021-9258(19)63293-X
62ESP,,10.1016/S0021-9258(19)84491-5
62SEG/BEA,,10.1016/S0021-9258(19)73958-1
63MAR/BAR,,10.1016/S0021-9258(18)81106-1
67HER/JEN,,10.1016/S0021-9258(18)95886-2
36MEY/SCH,,
43KRE/EGG,16747647,10.1042/bj0370334
45DAR,,10.1111/j.1748-1716.1945.tb00300.x
52ASK,,
52LEL/CAR,,
56KIT/HOR,,
57TAL,,
60ISH,,
61PRA,,
64SAT/TSU,,10.1246/nikkashi1898.67.5_683
65SEK/SUN,,
74FRA/LEE,,
75KUR/KON,,
76LLO/KHA,,
80REK/EGO,,
81HSI/SU,,
86KIM/LEE,,
86POL/MEN,,
89JEE/SHI,,
89REK/SIK,,
92LEE/HAN,,
92REK/TIS,,
92XIA/XUE,,
34JAC,,
34LOH/MEY,,
34MEY/LOH,,
35AKA,,
35JAC/TAP,,
35MEY/KIE2,,
35MEY/KIE,,
35MEY/LOH,,
35MEY/SCH,,
35MEY,,
36EUL/ADL,,10.1515/bchm2.1936.241.6.239
36LEH,,
36MEY/LOH,,
36VEI,,
37ADL/SRE,,10.1515/bchm2.1937.249.1.24
37EUL/ADL2,,10.1515/bchm2.1937.249.1.1
37EUL/ADL3,,10.1515/bchm2.1937.245.5-6.217
37EUL/ADL,,10.1515/bchm2.1937.247.1-2.65
37NEG/WUL,,
38EUL/ADL,,10.1515/bchm2.1938.254.2.61
38MEY/SCH,,
41WAR/CHR,,
42LEN/STR,,
43BAN,,
43KUB/OTT,,
45OHL,,10.1515/bchm2.1947.282.1-2.37
48SOR/DEG,,
49SOR/DVO,,
50PAZ,,
52KOR,,
54GIN,,
54STA,,
55DEC,,
56ENG,,
59ALE,,
59TAL/LEV,,
61DOU/MER,,
61DOU,,
61KLE,,
61RAC2,,
62DOU/SHU,,
62RAB,,
65STI/DIA,,
68BRO,,
68VEE,,
69BAR,,
69BEN,,
69BRE/AAS,,
69GEO/TRA,,
73BEE/STE,,
73HAV/PIT,,10.1007/978-1-4615-8897-9_45
73LAN,,10.1007/978-1-4684-6985-1_70
73SHE/GUL,,
74LAN,,
74MCK,,
74SCH/STU,,
75KAP/BAR,,
76LAW/GUY,,
79REK/EGO,,
80SVE/GAL,,
82RED,,
83BRA,,
83KHO/KAR,,
83TIL,,
84LLO/CHA,,
84OYA/IRI,,
84PAU,,
84PUZ/GOR,,
85LIE,,
87ANT,,
90LIU,,
92KRA,,
95BIS/KRA,,
95LIA/WAN,,
57DOU/CON,,
74MCG/PHI,4364415,10.1016/S0021-9258(19)42648-3
51KOR,,
55BUC,,10.1016/0076-6879(55)01068-9
57VLA/VLA2,13451618,10.1038/1791350a0
58MCQ,,
61MAH,,
61RAC,,
62BES,,10.1016/0076-6879(63)06160-7
62JAK,,10.1016/S0076-6879(62)05311-2
62RAT,,10.1016/S0076-6879(62)05324-0
62TAB,,10.1016/S0076-6879(62)05313-6
63FLA,,10.1016/0076-6879(63)06157-7
66HAN/VER,,10.1016/0076-6879(66)08048-0
69ALB,,10.1016/S0021-9258(18)93127-3
70DEN,,10.1016/0076-6879(71)17195-9
70MAR/COH,,10.1016/0076-6879(71)17186-8
71JEN/SCH,,10.1021/ja00745a017
77LAN/GAR,,10.1002/aic.690230102
89LEH/SIN,2494984,10.1042/bj2570355
37STU,,10.1021/ja01287a037
46OHL2,,10.1515/zna-1946-0107
55GRI/WAL,,10.1016/0006-3002(55)90122-0
61CAN,,
84REK/RUM2,,
92LOR/ERG,,10.1016/B978-0-444-89046-7.50076-X
66SHU,,10.1016/0076-6879(66)09104-3
93WER/TWE2,8223624,10.1111/j.1432-1033.1993.tb18332.x
54HOC/WAT,,10.1016/0003-9861(54)90313-6
70FAN/FEI,5483919,10.1104/pp.46.4.592
85TEW/GOL,,10.1007/BF02824308
62COM/ROS,,10.1016/S0076-6879(62)05246-5
90LIU/QUI,2139795,10.1021/bi00458a012
93GOL/TEW,,10.1063/1.555939
95GOL/TEW,,10.1063/1.555969
96LIA/WAN,,
72DUF/NEL,,
47KAL,20285041,10.1016/S0021-9258(17)30999-7
60LEA/GLA,13759914,10.1016/S0021-9258(20)81338-6
64ZAN/BAC,14127579,10.1128/JB.87.3.614-618.1964
71BRI/CAR,5168977,10.1021/bi00800a028
71BRI/CLA,,
74CLA/BIR,4854821,10.1042/bj1390491
75MCC/JOV,1092683,10.1016/S0021-9258(19)41388-4
76CRA/WAI,182134,10.1042/bj1550679
76FAR/CRY,819440,10.1016/S0021-9258(17)33309-4
77VEE/KRU,,10.1515/9783110853704-023
78ERB/BUR,28770,10.1016/0005-2744(78)90198-5
78ROS/DUB,213437,10.1016/S0021-9258(17)34332-6
79VAN,33191,10.1002/jcp.1040980106
79VAN/DEB,376783,10.1111/j.1471-4159.1979.tb02290.x
80GER/GUT,,10.1021/ja00525a033
81KIS/NIE,7030216,10.1016/0003-9861(81)90496-3
82NG/WON,7076619,10.1128/JB.150.3.1252-1258.1982
83PIL/HAN,6885800,10.1016/S0021-9258(17)44524-8
83VIT/HUA,6357095,10.1016/0003-9861(83)90339-9
84BER/COO,6091737,10.1021/bi00313a014
85BAD/WAL,3921052,10.1021/bi00327a010
85GEU/MAY,3841060,10.1111/j.1432-1033.1985.tb09305.x
85HEA/CHU,4066712,10.1016/S0021-9258(17)36245-2
85VAN/SCH,2864395,10.1111/j.1471-4159.1985.tb07214.x
86RAG/CAR,3091600,10.1016/S0021-9258(18)67242-4
87FIE/JOH,3307916,10.1021/bi00387a052
87HSU/WED,3322196,10.1016/0003-9861(87)90498-X
87MIL/EST,3597405,10.1016/S0021-9258(18)48039-8
88GAU,2844813,10.1016/S0021-9258(19)37602-1
88GUI/SNE,3076441,
89HAG/ROS,2537492,10.1073/pnas.86.4.1224
89JUN/JUN,2663076,10.1016/0005-2760(89)90232-4
90BHA/VIN,2271660,10.1021/bi00498a009
90KWI/HUA,2157478,10.1021/bi00453a019
91PAR/HOR,1939115,10.1016/S0021-9258(18)54759-1
92KEL/SCH,1318300,10.1016/S0021-9258(19)49761-5
92QAM/YOO,1327136,10.1021/bi00156a018
92WED/LEY1,1547269,10.1016/0167-4838(92)90209-V
93AND/BUL,8366124,10.1016/S0021-9258(19)36592-5
93VIN/GRU,7503993,10.1016/S0021-9258(19)74485-8
92WED/LEY,8444866,10.1016/S0021-9258(18)53478-5
93WIL/TOO,,10.1021/jo00065a010
94REK/SCH,,10.1021/j100066a032
95PEL/MAC,7548019,10.1021/bi00039a025
96KIM/DUN,8605214,10.1021/bi952944k
97XU/EAD,9132023,10.1021/bi9616007
98CON/BOR,,10.1007/s004490050406
98DIE/STR,,10.1016/S1381-1177(98)00044-7
98DIE/STR2,,10.3109/10242429809003622
98LIA/QU,,10.1007/BF02883019
98LIA/WAN,,10.1016/S0040-6031(98)00464-X
98URB/BRA,9922170,10.1021/bi981819g
99BAS/MAR,10637769,10.1080/152165499306630
99BRA/FIS,10358012,10.1074/jbc.274.24.16727
99ELS,,
99GRA/NID,10455186,10.1074/jbc.274.35.25069
99HUT/OEH,,10.1016/S0040-6031(98)00547-4
99KAT/UED,10521704,10.1016/S1388-1981(99)00124-9
99MUN/LOP,10027985,10.1046/j.1365-2958.1999.01211.x
99NIE/SCH,,10.3109/10242429909040115
99SAK/UTS,10087174,10.1006/abbi.1999.1121
99TEA/DOB,10428820,10.1074/jbc.274.32.22459
99TEW/SCH,,10.1021/je980299p
00BYR/GOL,10723544,10.1016/S0301-4622(99)00145-3
00DIC/BUR,10748184,10.1074/jbc.M910044199
00FLO/SEW,10620267,10.1002/(SICI)1097-0290(20000205)67:3<364::AID-BIT13>3.0.CO;2-R
00FRA/KOS,,10.1039/b000018n
00KIS/TEW,,10.1006/jcht.1999.0496
00LIA/HUA,,10.1016/S0040-6031(00)00355-5
00LIA/QU,,10.1016/S0009-2509(00)00417-6
00ROD/BAR,10890880,10.1073/pnas.120168097
00TEW,,10.1016/S1381-1177(99)00087-9
00TEW/DAV,,10.1006/jcht.2000.0677
00ZHE/BLA,10736170,10.1021/bi992676g
00TEW/GOL,,10.1006/jcht.2000.0686
01TEW/BUN,,10.1016/S1381-1177(01)00016-9
01TEW/KIS,,10.1006/jcht.2001.0862
01TIS/IHL,,
02VUO/PAS,,10.1080/10242420290029463
03BIA,12611889,10.1074/jbc.M211103200
03GOL/TEW,,10.1016/j.jct.2003.08.002
03KIN,12573288,10.1016/S0003-9861(02)00692-6
03KOB/FUR,,10.1016/S1381-1177(03)00109-7
03MER/WOO,12805358,10.1074/jbc.M303661200
03RAN/VAN,12568939,10.1016/S0301-4622(02)00254-5
03TEW/GOL,,10.1016/S0021-9614(03)00111-3
03TEW/VAN,,10.1016/S1381-1177(02)00120-0
03WAT/YAM,,10.1016/S1381-1177(03)00102-4
04DAS/BOM,15322117,10.1074/jbc.M408866200
04LI/LI,,10.1002/cjoc.20040220307
04STO/SCH,15158492,10.1016/S0003-2697(04)00219-2
04TEW/IHA,,10.1016/j.molcatb.2004.04.005
05SIR/HUE,,10.1016/j.tca.2004.06.011
05TEW/GOL,,10.1016/j.jct.2004.11.011
05TEW/SCH,,10.1016/j.jct.2004.08.002
06AIR,16427818,10.1016/j.bbapap.2005.11.020
06MCC/ARA,16519510,10.1021/bi052232m
06ONO/YAN,16616264,10.1016/j.phytochem.2006.02.017
06POD/BEL,16884305,10.1021/jm060202r
06TAN/SUR,16967985,10.1021/ja0627702
06TEW/KIS,,10.1016/j.jct.2005.12.014
06TEW/PHI,,10.1016/j.jct.2005.06.005
06XU/WES,17002315,10.1021/bi0610808
07LIN/ALG,17223711,10.1021/bi062067q
07TEW/KIS,,10.1016/j.jct.2006.10.010
07TEW/LIE,,10.1016/j.jct.2006.12.007
00WU/FEN,,10.1021/ja992286h
00DIE,,
