reference_code,pmid,doi
68AUR/KLE,4302217,10.1111/j.1432-1033.1968.tb00437.x
68REE/MEN,4302788,10.1016/S0021-9258(18)91972-1
68HAT/SLA,4305612,10.1042/bj1060141
69PET/MCK,4306134,10.1016/0003-9861(69)90128-3
69SWI,4306285,10.1016/S0021-9258(18)91705-9
69LAN/DEK,4309127,10.1021/bi00835a041
69GRE/RUD,4309154,10.1016/S0021-9258(18)93695-1
69DOL,4310090,10.1016/S0021-9258(18)63657-9
70VEE/RAI,4315932,10.1042/bj1170499
70BRO/KRE,4316090,10.1042/bj1170091
71RUD/JOH,4322715,10.1016/S0021-9258(19)76969-5
71HAY/GRE,4328843,10.1016/S0021-9258(18)61884-8
72FOR/GAU,4335290,10.1021/bi00756a026
72CAG/FRI,4337852,10.1016/S0021-9258(19)45152-1
72BAK/JEN,4344229,10.1016/S0021-9258(19)44584-5
73GUY/VEE,4355193,10.1016/S0021-9258(19)43347-4
74JEB/TY,4373722,10.1073/pnas.71.11.4630
74GUY/VEL,4374936,10.1042/bj1400369
65WAL/SAL,4378782,10.1021/bi00882a015
66AVI/ENG,4379259,10.1016/S0021-9258(18)96926-7
66SCH/HOR,4381350,10.1016/0003-9861(66)90020-8
67SIL/VOE,4381552,10.1016/S0021-9258(18)96185-5
67UYE/RAB,4383631,10.1016/S0021-9258(18)99549-9
67ENG/DAL,4384597,10.1042/bj1050691
68AVI/ALR,4384672,10.1016/S0021-9258(18)93531-3
68SUG/PIZ,4384871,10.1016/S0021-9258(18)93450-2
68KOH/JAK2,4385076,10.1016/S0021-9258(18)93401-0
68LON/DAL,4387224,10.1042/bj1100217
69VEE/EGG,4391039,10.1042/bj1150609a
69VIL/DAL,4391041,10.1042/bj1150633
70TSU/FRI,4394942,10.1016/S0021-9258(18)62643-2
70WUR/HES,4395302,10.1515/bchm2.1970.351.2.1537
70KOH/WAR,4395378,10.1016/S0021-9258(18)62926-6
71WOH,4398630,10.1111/j.1432-1033.1971.tb01503.x
71KAT,4401291,10.1016/s0003-9861(71)80057-7
72NAG/JAE,4403556,10.1515/bchm2.1972.353.1.773
74TUR/GIL,4436332,10.1016/S0021-9258(19)81292-9
74DAN/CAR,4548670,10.1111/j.1432-1033.1974.tb03763.x
74WON/FRE,4606575,10.1021/bi00716a011
74KNA/BLA,4615902,10.1111/j.1432-1033.1974.tb03894.x
72MAR/BEL,4623846,10.1016/S0021-9258(19)45234-4
72DEL,4624446,10.1016/S0021-9258(19)45108-9
72KHA/ZHE,4660956,
73DEW/LOW,4697392,10.1016/S0021-9258(19)44082-9
73SOM/COS,4711468,10.1021/bi00738a008
73VEL/GUY,4718747,10.1016/S0021-9258(19)43738-1
73SUG,4719122,10.1021/bi00739a014
73GUY/GEL,4743509,10.1016/S0021-9258(19)43346-2
73HER,4745770,10.1016/S0021-9258(19)43289-4
74BOS/YAM,4826883,10.1021/bi00707a008
74KEN,4831620,
74KUR/TAK,4846750,10.1016/S0021-9258(19)42395-8
70MAN/HOL,4910853,10.1073/pnas.65.3.660 
71JOS/WAK,4934182,10.1016/0003-9861(71)90234-7
71COH/WOL,4944312,10.1016/S0021-9258(19)45813-4
71TAN/JOH,4945184,10.1128/jb.108.3.1107-1111.1971
65MAR/JEN,4953710,10.1016/S0021-9258(18)97177-2
66MAR/COH,4958913,10.1016/S0021-9258(18)99770-X
69WHI/LEJ,4989322,10.1042/bj1130589
72GUS/GAN,5012314,10.1016/S0021-9258(19)45571-3
72DAH/AND,5016652,10.1016/S0021-9258(19)45519-1
72COO/MEI,5059882,10.1021/bi00755a001
72STU,5061975,10.1016/S0021-9258(19)45701-3
72NEL/KIE,5082943,10.1016/0003-2697(72)90451-4
71CHE/ALI,5095956,
71MCC/CHA,5129727,10.1016/S0021-9258(19)45873-0
71HOR/HUS,5148773,
66WIL/WAK,5330116,10.1016/S0021-9258(18)96625-1
69VEE/RAI,5357024,10.1042/bj1150837
70ALB,5423264,10.1021/bi00814a011
70KNO/HAN,5427280,10.1016/S0021-9258(18)63098-4
70HEY/ELB,5438047,10.1128/jb.101.3.777-780.1970
70CHI/ZAP,5438361,10.1016/S0021-9258(19)77160-9
70BEN/FRI,5442269,10.1016/S0021-9258(18)63142-4
70WUR/SCH,5451283,10.1515/bchm2.1970.351.2.961
70HER,5470822,10.1016/S0021-9258(18)62958-8
70KRI/BUC,5493986,10.1111/j.1432-1033.1970.tb01202.x
70NAK/TSU,5498430,10.1016/S0021-9258(19)63814-7
71SHI/SUG,5552394,10.1111/j.1432-1033.1971.tb01312.x
71ROB,5570433,10.1016/S0021-9258(18)61962-3
71UNK/GOL,5573236,10.1016/S0021-9258(18)62300-2
71KUN/STA,5574401,10.1016/S0021-9258(18)62235-5
71WIL/ROC,5580657,10.1021/bi00784a017
67ENG/DEN,5583983,10.1042/bj1050032c
67KEP/TOV,5633396,10.1016/S0021-9258(18)99355-5
68DYS/NOL,5647261,10.1016/S0021-9258(18)93559-3
68AYL/SNE,5650370,10.1021/bi00845a002
68AYL/SNE2,5650371,10.1021/bi00845a003
68HAV/HAN,5655435,10.1021/bi00845a039
68TAN/KAN,5655499,10.1111/j.1432-1033.1968.tb00199.x
68MIZ/WEE,5658542,10.1016/S0021-9258(19)34190-0
68SU/RUS,5661709,10.1016/S0021-9258(18)92018-1
68BAD/MIL,5681454,10.1021/bi00850a014
68NIX/BLA,5687716,10.1016/S0021-9258(18)93178-9
68POT/GLO,5690817,10.1016/S0021-9258(18)92023-5
68MAY/AND,5726889,10.1016/S0021-9258(18)93144-3
69WAN/BAR,5769987,10.1016/S0021-9258(18)83432-9
69SHE/ALE,5773308,10.1016/S0021-9258(18)94451-0
69TSU/FUK,5782905,10.1016/S0021-9258(18)91886-7
69GAR/CLE,5793714,10.1021/bi00830a026
69SMI/MOR,5800442,10.1016/S0021-9258(17)36405-0
69PAS/LOW,5814030,10.1016/S0021-9258(18)91871-5
69ROS/HAM,5814934,10.1021/bi00833a017
69BLA/FRA,5824560,10.1016/S0021-9258(18)94283-3
65GAU/WOL,5854583,10.1128/jb.90.6.1531-1536.1965
66GOL/MAR,5901055,10.1016/S0021-9258(18)96955-3
66JEN/DAR,5912360,10.1016/S0021-9258(18)96541-5
66MAR/WAD,5924638,10.1016/S0021-9258(18)99761-9
66CHA/WIL,5924646,10.1016/S0021-9258(18)99776-0
66MAT,5924649,10.1016/S0021-9258(18)99779-6
66KIM/SUZ,5933869,10.1016/S0021-9258(18)96808-0
66MUR/SUG,5941994,10.1016/0003-9861(66)90153-6
66VER/ROD,5946626,10.1016/S0021-9258(18)96658-5
66UHR/MAR,5954807,10.1016/S0021-9258(18)96447-1
66MUD/KLE,5961285,10.1021/bi00869a030
66THO/NAN,5971743,10.1016/0003-9861(66)90126-3
66BER/MOE,5982377,
67GRO,6016328,10.1016/S0021-9258(18)96331-3
